seg,word,cate,v,a
1,girl,4,6.87,4.29
1,know,4,6.93,5.77
1,movie,4,6.86,4.93
1,movie,4,6.86,4.93
1,cute,4,7.56,5.05
1,happy,4,8.47,6.05
1,love,4,8,5.36
1,me,4,8.06,5.97
1,me,4,8.06,5.97
1,know,4,6.93,5.77
1,animal,4,6.48,5.55
1,like,4,7.52,6.63
1,friend,4,6.79,4.29
2,sexy,4,8.02,7.36
2,love,4,8,5.36
2,people,4,7.33,5.94
2,like,4,7.52,6.63
2,people,4,7.33,5.94
2,think,4,6.41,5.34
2,sing,4,7.5,4.1
2,life,4,7.27,6.02
2,me,4,8.06,5.97
2,favorite,4,7.39,4.4
2,me,4,8.06,5.97
2,like,4,7.52,6.63
3,promise,4,6.64,3.9
3,song,4,7.1,6.07
3,love,4,8,5.36
3,like,4,7.52,6.63
3,fun,4,8.37,6.32
3,right,4,6.45,4.79
3,fun,4,8.37,6.32
3,memory,4,6.62,5.42
4,like,4,7.52,6.63
4,me,4,8.06,5.97
4,like,4,7.52,6.63
4,like,4,7.52,6.63
4,know,4,6.93,5.77
4,happy,4,8.47,6.05
4,know,4,6.93,5.77
4,artist,4,6.59,4.94
4,like,4,7.52,6.63
5,me,4,8.06,5.97
5,me,4,8.06,5.97
5,love,4,8,5.36
5,like,4,7.52,6.63
5,kid,4,6.42,5.35
5,people,4,7.33,5.94
6,baby,4,6.67,4.97
6,home,4,7.91,4.21
6,love,4,8,5.36
6,me,4,8.06,5.97
6,beautiful,4,7.61,5.71
6,love,4,8,5.36
6,movie,4,6.86,4.93
6,funny,4,8.56,7
7,sing,4,7.5,4.1
7,me,4,8.06,5.97
7,song,4,7.1,6.07
7,dreams,4,7.14,6.48
8,me,4,8.06,5.97
8,people,4,7.33,5.94
8,me,4,8.06,5.97
9,love,4,8,5.36
10,me,4,8.06,5.97
10,answer,4,6.63,5.41
10,me,4,8.06,5.97
10,favorite,4,7.39,4.4
10,movie,4,6.86,4.93
10,like,4,7.52,6.63
10,me,4,8.06,5.97
10,family,4,7.65,4.8
10,day,4,6.66,5
10,glad,4,7.55,3.71
10,love,4,8,5.36
10,girl,4,6.87,4.29
10,me,4,8.06,5.97
10,like,4,7.52,6.63
10,like,4,7.52,6.63
11,thankful,4,7.76,4.52
11,people,4,7.33,5.94
12,like,4,7.52,6.63
12,pretty,4,7.7,5.5
12,like,4,7.52,6.63
12,think,4,6.41,5.34
12,me,4,8.06,5.97
12,sing,4,7.5,4.1
12,me,4,8.06,5.97
12,people,4,7.33,5.94
12,food,4,7.52,4.69
12,me,4,8.06,5.97
12,love,4,8,5.36
12,love,4,8,5.36
12,food,4,7.52,4.69
12,love,4,8,5.36
12,food,4,7.52,4.69
12,pretty,4,7.7,5.5
12,me,4,8.06,5.97
12,me,4,8.06,5.97
12,pretty,4,7.7,5.5
12,me,4,8.06,5.97
12,me,4,8.06,5.97
12,pretty,4,7.7,5.5
12,pretty,4,7.7,5.5
12,me,4,8.06,5.97
12,me,4,8.06,5.97
13,me,4,8.06,5.97
13,life,4,7.27,6.02
13,know,4,6.93,5.77
13,me,4,8.06,5.97
13,life,4,7.27,6.02
13,sure,4,6.53,5
13,play,4,8.1,6.93
13,guitar,4,6.86,5.82
13,sing,4,7.5,4.1
13,head,4,6.63,5.7
13,play,4,8.1,6.93
14,love,4,8,5.36
14,song,4,7.1,6.07
15,favorite,4,7.39,4.4
15,love,4,8,5.36
15,know,4,6.93,5.77
15,me,4,8.06,5.97
15,house,4,7.26,4.56
15,family,4,7.65,4.8
15,music,4,7.67,5.57
15,people,4,7.33,5.94
15,gorgeous,4,7.57,4.92
15,bed,4,7.51,3.61
15,give,4,7.13,5.33
15,me,4,8.06,5.97
15,gorgeous,4,7.57,4.92
16,wish,4,7.09,5.16
16,man,4,6.73,5.24
16,me,4,8.06,5.97
16,baby,4,6.67,4.97
16,easy,4,7.1,4.48
16,right,4,6.45,4.79
16,men,4,6.66,5.69
16,mind,4,6.68,5
16,favorite,4,7.39,4.4
16,know,4,6.93,5.77
16,home,4,7.91,4.21
16,home,4,7.91,4.21
16,song,4,7.1,6.07
16,me,4,8.06,5.97
16,me,4,8.06,5.97
16,fun,4,8.37,6.32
16,sexy,4,8.02,7.36
16,gorgeous,4,7.57,4.92
16,glad,4,7.55,3.71
16,first,4,6.89,6.14
16,like,4,7.52,6.63
16,baby,4,6.67,4.97
16,know,4,6.93,5.77
16,people,4,7.33,5.94
16,day,4,6.66,5
16,beautiful,4,7.61,5.71
16,love,4,8,5.36
17,love,4,8,5.36
17,me,4,8.06,5.97
17,home,4,7.91,4.21
17,beach,4,7.21,5.1
17,love,4,8,5.36
17,like,4,7.52,6.63
17,like,4,7.52,6.63
17,beautiful,4,7.61,5.71
17,love,4,8,5.36
17,me,4,8.06,5.97
17,talent,4,6.3,5.6
17,party,4,7.86,6.69
17,kid,4,6.42,5.35
17,kid,4,6.42,5.35
17,man,4,6.73,5.24
17,sing,4,7.5,4.1
17,like,4,7.52,6.63
17,baby,4,6.67,4.97
17,favorite,4,7.39,4.4
17,me,4,8.06,5.97
17,priceless,4,6.95,5.23
17,friend,4,6.79,4.29
17,nature,4,7.65,4.37
17,pretty,4,7.7,5.5
17,perfect,4,7.19,4.71
17,day,4,6.66,5
17,twinkle,4,6.26,3.72
17,star,4,7.47,5.5
17,tune,4,6.93,4.71
17,home,4,7.91,4.21
17,gorgeous,4,7.57,4.92
17,love,4,8,5.36
17,perfect,4,7.19,4.71
17,happy,4,8.47,6.05
17,friend,4,6.79,4.29
17,first,4,6.89,6.14
18,me,4,8.06,5.97
18,movie,4,6.86,4.93
18,achieve,4,7.75,4.7
18,beauty,4,7.58,4.89
18,happy,4,8.47,6.05
18,beautiful,4,7.61,5.71
18,befriend,4,7.14,4.25
18,me,4,8.06,5.97
19,achieve,4,7.75,4.7
20,free,4,8.26,5.15
20,me,4,8.06,5.97
20,me,4,8.06,5.97
20,like,4,7.52,6.63
20,cute,4,7.56,5.05
20,give,4,7.13,5.33
20,fun,4,8.37,6.32
20,day,4,6.66,5
20,win,4,8.38,7.72
20,concert,4,7.66,7.32
21,love,4,8,5.36
21,right,4,6.45,4.79
21,me,4,8.06,5.97
21,heart,4,7.39,6.34
21,space,4,6.78,5.14
21,food,4,7.52,4.69
21,like,4,7.52,6.63
21,kids,4,6.91,5.27
21,wish,4,7.09,5.16
21,eat,4,7.1,4.38
21,like,4,7.52,6.63
21,game,4,6.98,5.89
21,day,4,6.66,5
21,like,4,7.52,6.63
21,gorgeous,4,7.57,4.92
21,wish,4,7.09,5.16
21,gorgeous,4,7.57,4.92
21,love,4,8,5.36
21,friend,4,6.79,4.29
21,like,4,7.52,6.63
21,right,4,6.45,4.79
21,forgive,4,7.06,3.62
22,like,4,7.52,6.63
22,victory,4,7.59,5.9
22,people,4,7.33,5.94
22,like,4,7.52,6.63
22,right,4,6.45,4.79
22,me,4,8.06,5.97
22,like,4,7.52,6.63
22,song,4,7.1,6.07
22,happy,4,8.47,6.05
22,movie,4,6.86,4.93
22,like,4,7.52,6.63
22,baby,4,6.67,4.97
22,cute,4,7.56,5.05
22,day,4,6.66,5
22,love,4,8,5.36
23,like,4,7.52,6.63
23,girl,4,6.87,4.29
23,happy,4,8.47,6.05
23,people,4,7.33,5.94
23,happy,4,8.47,6.05
23,perfect,4,7.19,4.71
23,meal,4,7.59,5.79
24,heart,4,7.39,6.34
24,couple,4,7.41,6.39
24,like,4,7.52,6.63
24,funny,4,8.56,7
25,fruit,4,6.93,4.63
25,juice,4,6.79,5.69
25,free,4,8.26,5.15
25,concert,4,7.66,7.32
25,able,4,6.74,4.3
26,like,4,7.52,6.63
26,beach,4,7.21,5.1
26,happy,4,8.47,6.05
26,enjoy,4,7.67,5
26,day,4,6.66,5
27,fun,4,8.37,6.32
27,like,4,7.52,6.63
27,care,4,7.53,6.03
27,love,4,8,5.36
27,day,4,6.66,5
28,love,4,8,5.36
28,fun,4,8.37,6.32
28,love,4,8,5.36
28,love,4,8,5.36
28,me,4,8.06,5.97
28,love,4,8,5.36
28,love,4,8,5.36
28,day,4,6.66,5
28,sunshine,4,8.14,5.32
28,give,4,7.13,5.33
28,like,4,7.52,6.63
28,me,4,8.06,5.97
28,fly,4,7.29,6.64
28,car,4,7.73,6.24
28,day,4,6.66,5
28,pretty,4,7.7,5.5
28,gorgeous,4,7.57,4.92
28,pretty,4,7.7,5.5
28,love,4,8,5.36
28,favorite,4,7.39,4.4
28,love,4,8,5.36
28,happiness,4,8.48,6.5
29,play,4,8.1,6.93
29,interesting,4,6.78,5.1
29,pretty,4,7.7,5.5
29,mind,4,6.68,5
29,people,4,7.33,5.94
29,shine,4,7.27,5.19
29,love,4,8,5.36
29,life,4,7.27,6.02
29,gorgeous,4,7.57,4.92
29,spring,4,7.76,5.67
30,productive,4,7.37,4.6
30,pizza,4,6.65,5.24
30,me,4,8.06,5.97
30,cute,4,7.56,5.05
30,me,4,8.06,5.97
30,play,4,8.1,6.93
30,know,4,6.93,5.77
30,me,4,8.06,5.97
30,me,4,8.06,5.97
30,star,4,7.47,5.5
30,funny,4,8.56,7
30,perfect,4,7.19,4.71
30,happy,4,8.47,6.05
30,fun,4,8.37,6.32
30,jump,4,6.44,5.14
30,rhythm,4,6.42,5.14
30,happy,4,8.47,6.05
30,music,4,7.67,5.57
31,man,4,6.73,5.24
31,happy,4,8.47,6.05
31,enjoy,4,7.67,5
31,freedom,4,7.72,5.67
31,gorgeous,4,7.57,4.92
31,food,4,7.52,4.69
31,like,4,7.52,6.63
31,starlight,4,7.68,4.91
31,song,4,7.1,6.07
31,first,4,6.89,6.14
31,free,4,8.26,5.15
33,favorite,4,7.39,4.4
33,memories,4,7.48,6.1
33,loved,4,8.64,6.38
33,car,4,7.73,6.24
33,life,4,7.27,6.02
33,spring,4,7.76,5.67
33,green,4,6.29,4.07
33,green,4,6.29,4.07
33,know,4,6.93,5.77
33,play,4,8.1,6.93
33,like,4,7.52,6.63
33,people,4,7.33,5.94
33,know,4,6.93,5.77
33,me,4,8.06,5.97
34,like,4,7.52,6.63
34,gorgeous,4,7.57,4.92
35,know,4,6.93,5.77
35,movie,4,6.86,4.93
35,me,4,8.06,5.97
35,loved,4,8.64,6.38
35,love,4,8,5.36
36,win,4,8.38,7.72
36,pretty,4,7.7,5.5
37,gorgeous,4,7.57,4.92
37,happy,4,8.47,6.05
38,love,4,8,5.36
38,spring,4,7.76,5.67
38,happy,4,8.47,6.05
39,know,4,6.93,5.77
39,man,4,6.73,5.24
39,me,4,8.06,5.97
39,fly,4,7.29,6.64
39,girl,4,6.87,4.29
40,love,4,8,5.36
40,house,4,7.26,4.56
40,enjoy,4,7.67,5
40,wish,4,7.09,5.16
40,red,4,6.41,5.29
40,red,4,6.41,5.29
40,me,4,8.06,5.97
41,food,4,7.52,4.69
42,happy,4,8.47,6.05
43,me,4,8.06,5.97
43,like,4,7.52,6.63
43,beach,4,7.21,5.1
43,day,4,6.66,5
43,spring,4,7.76,5.67
